add_date,year,month,day,day_of_week,asset_code,asset_id,material,general_location,install_date,land_id,cluster
2013-09-25 2:44,2013,9,25,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2701,2
2013-09-26 21:09,2013,9,26,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3234,2
2013-09-26 21:34,2013,9,26,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3234,2
2013-09-26 21:39,2013,9,26,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3234,2
2013-09-26 23:18,2013,9,26,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2777,2
2013-09-27 0:07,2013,9,27,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2772,1
2013-09-27 0:08,2013,9,27,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2772,1
2013-09-27 1:09,2013,9,27,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2768,1
2013-09-27 1:10,2013,9,27,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2768,1
2013-09-27 21:41,2013,9,27,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2760,1
2013-09-27 21:44,2013,9,27,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2760,1
2013-09-30 9:42,2013,9,30,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3459,2
2013-09-30 10:43,2013,9,30,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2979,2
2013-09-30 10:42,2013,9,30,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,13741,2
2013-09-30 13:25,2013,9,30,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,15291,2
2013-09-30 13:26,2013,9,30,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,14787,2
2013-09-24 11:13,2013,9,24,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,73,2
2013-09-25 9:03,2013,9,25,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,147,2
2013-09-23 22:53,2013,9,23,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3244,2
2013-09-23 22:54,2013,9,23,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3244,2
2013-09-23 22:55,2013,9,23,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3244,2
2013-09-23 22:56,2013,9,23,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3244,2
2013-09-23 22:57,2013,9,23,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3244,2
2013-09-23 22:58,2013,9,23,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3244,2
2013-09-23 22:59,2013,9,23,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3244,2
2013-09-30 10:44,2013,9,30,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2979,2
2013-09-09 12:24,2013,9,9,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1457,2
2013-09-12 12:46,2013,9,12,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2274,3
2013-09-12 12:47,2013,9,12,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2274,3
2013-09-12 14:42,2013,9,12,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2326,3
2013-09-12 14:43,2013,9,12,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2326,3
2013-09-12 15:39,2013,9,12,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2235,3
2013-09-18 14:42,2013,9,18,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3435,2
2013-09-18 14:43,2013,9,18,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3435,2
2013-09-16 2:11,2013,9,16,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2314,2
2013-09-16 2:12,2013,9,16,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2314,2
2013-09-26 10:07,2013,9,26,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3015,2
2013-09-27 10:04,2013,9,27,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2846,1
2013-09-27 10:34,2013,9,27,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2846,1
2013-09-30 9:39,2013,9,30,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3459,2
2013-09-30 9:41,2013,9,30,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3459,2
2013-09-30 11:32,2013,9,30,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2572,2
2013-09-10 14:27,2013,9,10,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,14370,2
2013-09-19 14:37,2013,9,19,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3375,2
2013-09-19 14:38,2013,9,19,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3375,2
2013-09-24 1:49,2013,9,24,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3235,2
2013-09-24 2:04,2013,9,24,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3235,2
2013-09-24 2:05,2013,9,24,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3235,2
2013-09-24 2:47,2013,9,24,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2745,2
