Add Date,Year,Month,Day,DayOfWeek,Asset Code,Asset ID,Material,General Location,Install Date,Land ID
2013-08-28 13:48:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,478
2013-08-29 09:29:00,1899,12,30,5,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,1170
2013-08-26 10:47:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,14332
2013-08-28 14:45:00,1899,12,30,4,CLIM,RPNT1022,METL,OSP,1899-12-30 00:00:00,2332
2013-08-28 14:49:00,1899,12,30,4,TETO,RPNT1062,METL,OSP,1899-12-30 00:00:00,2332
2013-08-28 15:02:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,2332
2013-07-09 21:41:00,1899,12,30,3,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,1761
2013-08-29 12:12:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,3137
2013-08-29 12:14:00,1899,12,30,5,CLIM,RPNT1022,METL,OSP,1899-12-30 00:00:00,3137
2013-06-26 08:36:00,1899,12,30,4,CLIM,RPNT1022,METL,OSP,1899-12-30 00:00:00,1429
2013-08-29 12:38:00,1899,12,30,5,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3140
2013-09-05 13:32:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,1980
2013-09-04 10:47:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,2331
2013-09-04 10:50:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,2331
2013-09-05 08:54:00,1899,12,30,5,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,14985
2013-09-05 08:54:00,1899,12,30,5,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,14985
2013-09-05 08:55:00,1899,12,30,5,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,14985
2013-09-05 08:55:00,1899,12,30,5,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,14985
2013-09-09 10:47:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,1201
2013-06-26 08:44:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,1429
2013-09-09 12:01:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,14065
2013-09-09 13:02:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,10034
2013-09-09 13:03:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,10034
2013-09-09 13:17:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,270
2013-09-09 13:32:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,264
2013-09-09 15:23:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,257
2013-09-09 15:26:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,257
2013-09-10 14:11:00,1899,12,30,3,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,230
2013-09-09 09:33:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,7813
2013-09-09 11:07:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,2348
2013-09-09 11:09:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,2348
2013-09-09 11:58:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,7793
2013-09-09 13:03:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,9576
2013-09-09 14:39:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,2317
2013-09-09 14:40:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,2317
2013-06-26 09:58:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,1775
2013-09-17 08:09:00,1899,12,30,3,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,15289
2013-09-17 08:11:00,1899,12,30,3,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,17
2013-06-26 10:00:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,1775
2013-09-18 09:05:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,3191
2013-09-18 10:15:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,3060
2013-09-25 09:20:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,2764
2013-09-23 10:52:00,1899,12,30,2,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,63
2013-09-23 12:01:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,65
2013-09-23 13:16:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,62
2013-09-23 13:22:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,62
2013-09-25 02:56:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,2701
2013-09-27 21:48:00,1899,12,30,6,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,2760
2013-09-30 12:55:00,1899,12,30,2,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3239
2013-10-03 11:20:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,2490
2013-10-08 14:12:00,1899,12,30,3,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,56
2013-10-08 15:08:00,1899,12,30,3,CLIM,RPNT1022,METL,OSP,1899-12-30 00:00:00,3175
2013-10-08 15:08:00,1899,12,30,3,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,3175
2013-10-11 11:36:00,1899,12,30,6,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,418
2013-10-11 11:38:00,1899,12,30,6,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,418
2013-10-10 12:50:00,1899,12,30,5,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,763
2013-08-14 09:44:00,1899,12,30,4,OGE,RPNT1064,METL,OSP,1899-12-30 00:00:00,1120
2013-08-14 09:44:00,1899,12,30,4,OGE,RPNT1064,METL,OSP,1899-12-30 00:00:00,1120
2013-08-14 09:44:00,1899,12,30,4,OGE,RPNT1064,METL,OSP,1899-12-30 00:00:00,1120
2017-12-18 15:54:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,215
2017-12-18 18:39:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,400
2017-12-18 19:54:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,651
2013-06-21 10:28:00,1899,12,30,6,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,1690
2013-06-21 10:37:00,1899,12,30,6,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,1690
2013-06-21 10:54:00,1899,12,30,6,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,1690
2013-06-21 10:55:00,1899,12,30,6,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,1690
2013-06-24 11:30:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,1661
2013-06-24 11:32:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,1661
2013-08-01 12:41:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,823
2013-08-07 10:49:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,869
2013-08-07 11:30:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,14311
2013-08-07 11:31:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,14311
2013-08-08 11:29:00,1899,12,30,5,OGE,RPNT1064,METL,OSP,1899-12-30 00:00:00,1005
2013-08-08 11:37:00,1899,12,30,5,TETO,RPNT1062,METL,OSP,1899-12-30 00:00:00,1005
2013-08-08 11:42:00,1899,12,30,5,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,1005
2013-08-09 10:53:00,1899,12,30,6,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,1032
2013-08-09 11:20:00,1899,12,30,6,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,14105
2013-08-13 08:30:00,1899,12,30,3,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,644
2013-08-13 11:57:00,1899,12,30,3,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,1070
2013-08-13 14:07:00,1899,12,30,3,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,649
2013-08-13 14:09:00,1899,12,30,3,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,649
2013-08-14 09:47:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,1116
2013-08-14 09:41:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,1120
2013-08-14 09:44:00,1899,12,30,4,OGE,RPNT1064,METL,OSP,1899-12-30 00:00:00,1120
2013-08-14 09:47:00,1899,12,30,4,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,1116
2013-08-15 10:37:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,850
2013-08-15 10:39:00,1899,12,30,5,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,850
2013-08-15 10:40:00,1899,12,30,5,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,850
2013-08-19 11:58:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,714
2013-08-19 15:07:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,772
2013-08-19 15:08:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,770
2013-08-20 13:58:00,1899,12,30,3,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,3198
2013-08-20 14:01:00,1899,12,30,3,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,3197
2013-08-21 11:51:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,623
2013-08-21 11:53:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,623
2013-08-21 15:30:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,614
2013-08-22 09:37:00,1899,12,30,5,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,686
2013-08-22 09:38:00,1899,12,30,5,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,686
2013-08-22 09:39:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,686
2013-08-22 09:40:00,1899,12,30,5,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,686
2013-08-22 11:53:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,699
2013-08-22 11:55:00,1899,12,30,5,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,699
2013-08-22 11:57:00,1899,12,30,5,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,699
2013-08-23 08:38:00,1899,12,30,6,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,576
2013-08-23 08:41:00,1899,12,30,6,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,576
2013-08-23 08:42:00,1899,12,30,6,CLIM,RPNT1022,METL,OSP,1899-12-30 00:00:00,576
2013-08-23 08:42:00,1899,12,30,6,CLIM,RPNT1022,METL,OSP,1899-12-30 00:00:00,576
2013-08-23 08:45:00,1899,12,30,6,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,15281
2013-08-23 10:24:00,1899,12,30,6,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,616
2013-08-23 10:25:00,1899,12,30,6,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,616
2013-08-23 10:55:00,1899,12,30,6,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,727
2013-08-23 10:58:00,1899,12,30,6,TETO,RPNT1062,METL,OSP,1899-12-30 00:00:00,727
2013-08-19 13:07:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,412
2013-08-19 13:08:00,1899,12,30,2,SLID,RPNT1016,METL,OSP,1899-12-30 00:00:00,412
2013-08-20 13:26:00,1899,12,30,3,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,364
2013-08-20 13:42:00,1899,12,30,3,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,3395
2013-08-19 12:48:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,436
2013-08-19 13:07:00,1899,12,30,2,OTHER,RPNT1137,METL,OSP,1899-12-30 00:00:00,412
